Date	High	Low	Open	Close	Volume	Adj Close
2021-01-04	88.06	85.16	87.56	86.33	9204200	86.33
2021-01-05	96.2	88.08	88.15	95.5	31011800	95.5
2021-01-06	93.29	86.81	92.53	88.18	21751400	88.18
2021-01-07	90.62	85.87	90.54	87.92	17070200	87.92
2021-01-08	91.6	87.38	89.0	91.54	13007400	91.54
2021-01-11	91.54	88.8	90.04	90.38	6956100	90.38
2021-01-12	91.1	88.44	90.62	88.54	9979900	88.54
2021-01-13	91.2	88.18	89.15	90.44	7282400	90.44
2021-01-14	92.45	89.03	91.43	89.24	8053100	89.24
2021-01-15	89.89	87.21	89.81	87.77	8862500	87.77
2021-01-19	91.43	89.97	90.53	91.15	10805200	91.15
2021-01-20	95.72	92.83	93.72	95.31	15501600	95.31
2021-01-21	95.57	93.35	95.4	95.1	7342400	95.1
2021-01-22	95.55	93.64	93.95	94.91	6948400	94.91
2021-01-25	101.68	96.23	99.3	98.38	16409700	98.38
2021-01-26	99.3	96.21	99.02	96.97	8246700	96.97
2021-01-27	94.41	89.75	93.4	90.09	16058200	90.09
2021-01-28	92.19	89.53	90.36	91.41	11254400	91.41
2021-01-29	91.8	88.64	89.98	88.69	10855300	88.69
