Date	High	Low	Open	Close	Volume	Adj Close
2021-01-04	74.1	71.39	71.39	73.18	17400	72.98
2021-01-05	76.68	74.51	74.51	76.68	11700	76.47
2021-01-06	77.8	72.1	77.8	73.2	78600	73.0
2021-01-07	73.1	70.51	70.51	72.85	66000	72.65
2021-01-08	77.93	71.92	72.92	76.55	89900	76.34
2021-01-11	76.54	74.1	74.1	75.83	19600	75.62
2021-01-12	76.75	75.83	75.83	76.25	6800	76.04
2021-01-13	79.28	76.35	76.35	79.0	5800	78.78
2021-01-14	81.93	80.4	80.4	81.0	34800	80.78
2021-01-15	83.77	81.38	81.38	81.65	58500	81.43
2021-01-19	86.0	81.7	81.7	86.0	22900	85.76
2021-01-20	88.72	86.87	86.87	88.3	39400	88.06
2021-01-21	89.2	87.38	88.0	89.0	9600	88.75
2021-01-22	91.01	86.15	86.15	90.69	20800	90.44
2021-01-25	99.63	94.59	97.1	95.8	71200	95.54
2021-01-26	95.0	92.0	95.0	92.73	50600	92.47
2021-01-27	91.5	87.61	91.5	89.17	28100	88.92
2021-01-28	90.39	88.92	89.0	89.54	13100	89.29
2021-01-29	91.07	86.5	90.0	89.84	76500	89.59
